"","Country","Divison","ISO 3 Letter","iso3num","Self_employed_total","Employed_total","Divison_total","female_employed_total","female_self_employed_total","male_self_employed_total","male_employed_total","female_self_employed_percent_divison","female_employed_percent_divison","male_self_employed_percent_divison","male_employed_percent_divison","female_self_employed_percent_slf","male_self_employed_percent_slf","female_employed_percent_ees","male_employed_percent_ees"
"141","Mali","79","MLI",466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Mexico","55-68","MEX",484,NA,348039,348039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Mexico","56","MEX",484,NA,754999,754999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Mexico","79","MEX",484,NA,27085,27085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Moldova, Republic of","55-68","MDA",498,NA,NA,4759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Moldova, Republic of","56","MDA",498,NA,NA,14265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Moldova, Republic of","79","MDA",498,NA,NA,856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Montenegro","55-68","MNE",499,3256.87360199308,11870.7339259452,NA,6390.80764623981,1535.06492546313,1721.80867652995,5479.92627970541,NA,NA,NA,NA,47.1330826140668,52.8669173859332,53.836668281072,46.163331718928
"149","Montenegro","56","MNE",499,1673.61527499178,10487.652076427,NA,4195.61112202603,NA,NA,6292.04095440096,NA,NA,NA,NA,NA,NA,40.0052470414848,59.9947529585152
"150","Montenegro","79","MNE",499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Myanmar","55-68","MMR",104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Myanmar","56","MMR",104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Myanmar","79","MMR",104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","New Caledonia","55-68","NCL",540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","New Caledonia","56","NCL",540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","New Caledonia","79","NCL",540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Romania","55-68","ROU",642,4994,66441,71435,42209,1891,3102,24232,2.64716175544201,59.087282144607,4.34240918317351,33.9217470427661,37.8654385262315,62.1145374449339,63.5285441218525,36.4714558781475
"158","Romania","56","ROU",642,6694,130106,136800,77950,2625,4069,52156,1.91885964912281,56.9809941520468,2.97441520467836,38.125730994152,39.2142216910666,60.7857783089334,59.9126865786359,40.0873134213641
"159","Romania","79","ROU",642,719,12385,13103,7573,324,395,4811,2.47271617186904,57.7959245974204,3.01457681446997,36.7167824162406,45.0625869262865,54.9374130737135,61.1465482438434,38.8453774727493
"160","Saudi Arabia","55-68","SAU",682,NA,NA,110095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Saudi Arabia","56","SAU",682,NA,NA,608722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Saudi Arabia","79","SAU",682,NA,NA,19892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
