"","Mode","Units","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Country"
"396","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MONGOLIA"
"397","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MONTENEGRO"
"398","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MONTENEGRO"
"399","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MONTENEGRO"
"400","Air","Thousands",NA,NA,NA,NA,NA,NA,1.8,1.9,1.3,1.6,5.6,7.9,7.7,6.8,5.6,5.1,4.1,4.1,4.5,4.1,4.1,6,4.1,4.4,4,1.9,1.6,NA,"MONTSERRAT"
"401","Water","Thousands",NA,NA,NA,NA,NA,NA,8,7.9,7.1,8.5,4.1,0.1,0.1,0.6,0.7,0.9,1.3,3.2,2.7,4.7,4.8,2.7,5.4,5.8,6.4,2.6,NA,NA,"MONTSERRAT"
"402","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MONTSERRAT"
"403","Air","Thousands",1153,1277,1431,1581,1853,2110,2146,2095,2139,2548,2986,3549,4395,4792,5108,6136,6254,6019,6691.4,6950,6772.3,6804,7619.3,8399.5,9081.5,2265.1,3461.2,7546.9,"MOROCCO"
"404","Water","Thousands",1008,1021,1187,989,1455,1612,1637,1655,1881,2201,2040,1937,1745,1756,1913,1924,1902,1941,1993.1,2036,2113.1,2198.3,2482.5,2471.6,2320.9,293.3,250.8,1422.3,"MOROCCO"
"405","Land","Thousands",441,395,454,525,508,556,597,703,741,728,818,1072,1268,1331,1320,1229,1186,1415,1361.7,1297,1291.4,1329.5,1247.6,1417.5,1529.8,219.4,9.8,1899.6,"MOROCCO"
"406","Air","Thousands",NA,NA,NA,NA,NA,NA,15,55,70,116,156,140,54,109,190,508,604,730,675,738.5,616,605.2,534.1,1012.6,843,434,219.9,NA,"MOZAMBIQUE"
"407","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0.1,NA,"MOZAMBIQUE"
"408","Land","Thousands",NA,NA,NA,NA,NA,NA,389,888,656,595,798,524,717,1330,1521,1328,1409,1476,1295,1012.1,1018,1110.1,979.6,1857.2,1187,525,328.9,NA,"MOZAMBIQUE"
"409","Air","Thousands",117,172,189,201,198,206,202,215,203,240,230,261,246,191,236,308,385,586,796,1082,1220.9,1214,1314.1,1335.7,1792.4,330.4,18.6,90.8,"MYANMAR"
"410","Water","Thousands",2,3,3,3,1,1,3,2,3,2,2,3,2,3,2,1,3,3,6,18.6,26.8,11,6.9,9.4,8.7,1.1,0.8,1.2,"MYANMAR"
"411","Land","Thousands",75,315,299,274,236,209,270,270,391,415,428,366,468,538,525,483,428,470,1242,1980.7,3433.3,1682,2122.1,2206.3,2563,571.9,111.6,141.4,"MYANMAR"
"412","Air","Thousands",NA,112,121,NA,NA,NA,165,183,167,167,185,217,246,273,NA,282,281.5,291.3,320.7,341.1,376.7,426.5,408,435.8,683.6,79.8,98.4,214.3,"NAMIBIA"
"413","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,3,6,9,NA,15,15.3,10.2,11.7,8.6,10.3,9.8,8.9,9.2,38.6,2.5,0.5,NA,"NAMIBIA"
"414","Land","Thousands",NA,NA,NA,NA,NA,NA,505,574,520,NA,589,613,677,649,NA,687,730.4,777.5,843.7,970.4,1000.7,1033,1082.5,1112.2,873.8,87.3,133.9,246.7,"NAMIBIA"
"415","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAURU"
"416","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAURU"
"417","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAURU"
"418","Air","Thousands",325,343,371,398,421,377,299,218,275,297,277,284,361,375,379,449,545,598,595,586,407.4,572.6,760.6,969.3,995.9,183.1,150.6,592.6,"NEPAL"
"419","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEPAL"
"420","Land","Thousands",38,50,51,66,70,87,62,57,63,88,98,100,166,125,131,154,191,205,203,204,131.6,180.4,179.6,203.8,201.3,47,0.3,22.2,"NEPAL"
"421","Air","Thousands",NA,NA,NA,NA,3787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NETHERLANDS"
"422","Water","Thousands",NA,NA,NA,NA,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NETHERLANDS"
"423","Land","Thousands",NA,NA,NA,NA,5800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NETHERLANDS"
"424","Air","Thousands",84,89,105,104,100,110,100,102,101,99,101,100,103,104,99,99,112,112,108,107,114,116,121,120,131,31,12.4,79,"NEW CALEDONIA"
"425","Water","Thousands",2,2,2,2,2,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEW CALEDONIA"
"426","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEW CALEDONIA"
"427","Air","Thousands",1397,1518,1488,1470,1592,1776,1897,2022,2083,2322,2349,2387,2431,2408,2420,2488,2568,2532,2672,2817.1,3097.6,3460.7,3677,3809.3,3827.4,965.7,205,1426.3,"NEW ZEALAND"
"428","Water","Thousands",12,11,9,15,15,11,13,23,21,12,17,22,25,39,28,23,26,23,38,36.4,31.8,33.6,46,48.4,61,30.7,2,7.5,"NEW ZEALAND"
"429","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEW ZEALAND"
"430","Air","Thousands",95,105,123,136,153,172,172,164,180,204,235,279,323,356,353,351,360,392,400,433,466.3,478.8,606.1,381.8,410,118.2,88.2,485.3,"NICARAGUA"
"431","Water","Thousands",13,15,12,13,14,17,17,17,21,13,26,28,15,26,26,14,15,17,19,22,19.2,15.7,8,7,7.5,2.5,1.4,4.3,"NICARAGUA"
"432","Land","Thousands",173,182,223,257,301,297,294,291,324,397,451,442,462,476,553,646,685,771,810,875,900.9,1009.9,1173.2,866.7,877.7,263.3,132.8,328.3,"NICARAGUA"
"433","Air","Thousands",35,38,44,20,39,50,51,39,50,54,58,60,48,73,66,74,82,94,123,135,135,152,164,157,192,85,NA,NA,"NIGER"
"434","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NIGER"
"435","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NIGER"
"436","Air","Thousands",NA,NA,NA,1273,1338,1401,1646,1924,2116,2493,2618,2879,3140,3401,3662,3118,2503,2313,2439,2698.8,3309.5,1565.8,1450.9,1471.2,1501,338.6,349,356,"NIGERIA"
"437","Water","Thousands",NA,NA,NA,17,17,18,21,22,25,28,29,32,560,407,520,183,67,257,319,624.4,785.5,328.9,103.6,105.1,107.2,24.2,24.9,25,"NIGERIA"
"438","Land","Thousands",NA,NA,NA,67,70,73,86,99,112,125,131,144,1539,1795,1871,2812,1195,2103,1280,1480,1922.3,3370.8,3627.4,3678,3752.5,846.6,872.5,890,"NIGERIA"
"439","Air","Thousands",2.2,1.5,1.8,1.7,1.9,1.9,1.4,2.1,2.7,2.6,2.8,3,3.3,4.7,4.7,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NIUE"
"440","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NIUE"
"441","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NIUE"
"442","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH MACEDONIA"
"443","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH MACEDONIA"
"444","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH MACEDONIA"
"445","Air","Thousands",669,728,685,481,493,517,438,466,452,525,498,429,385,388,345,375,336,398.6,436.3,455,475.1,526,656,516.4,483.7,86.8,12.2,96.1,"NORTHERN MARIANA ISLANDS"
"446","Water","Thousands",7,8,10,9,8,12,6,10,7,11,9,7,4,9,9,4,5,2.4,2.6,4.7,3.4,5,4,1.4,3.3,2.1,0.5,0.5,"NORTHERN MARIANA ISLANDS"
"447","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTHERN MARIANA ISLANDS"
"448","Air","Thousands",NA,NA,NA,998,1037,1006,998,1011,1170,1414,1588,1756,1916,1901,1798,2008,2137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORWAY"
"449","Water","Thousands",NA,NA,NA,700,673,673,655,690,698,694,709,750,808,731,748,824,827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORWAY"
"450","Land","Thousands",NA,NA,NA,1558,1513,1425,1420,1410,1401,1521,1527,1565,1654,1716,1801,1934,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORWAY"
"451","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OMAN"
"452","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OMAN"
"453","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OMAN"
"454","Air","Thousands",328,317,313,354,354,475,407,408,385,536,682,763,732,718,679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PAKISTAN"
"455","Water","Thousands",NA,1,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PAKISTAN"
"456","Land","Thousands",50,51,62,74,76,79,93,90,116,112,116,135,108,105,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PAKISTAN"
"457","Air","Thousands",53,69,74,64,55,58,54,59,63,89,81,82,88,81,71,85,111,120,108,140,162,138,123,106,94,18,NA,NA,"PALAU"
"458","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PALAU"
"459","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PALAU"
"460","Air","Thousands",300,308,344,343,359,375,392,409,450,476,546,671,912,1044,1007,1096,1209,1349,1392,1656.1,2016.1,1902.1,1865.6,1855.5,1848,416,665.4,1520.2,"PANAMA"
"461","Water","Thousands",6,6,7,8,9,9,13,15,10,23,21,21,13,NA,NA,NA,NA,NA,NA,404.8,297.2,250.8,445.2,417.7,436.4,193.6,90.6,340,"PANAMA"
"462","Land","Thousands",39,48,51,59,88,100,113,108,105,122,135,151,178,202,193,228,264,257,266,243.8,239.4,226.3,206.7,214.2,209.5,37.5,48.3,85.5,"PANAMA"
"463","Air","Thousands",40,NA,NA,NA,63,58,54,54,56,59,69,78,104,114,121,140,158,168,174,182,183,179,139,140,160,39,17,66.8,"PAPUA NEW GUINEA"
"464","Water","Thousands",2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,7,7,8,9,16,19,43,55,51,NA,NA,2.6,"PAPUA NEW GUINEA"
"465","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PAPUA NEW GUINEA"
"466","Air","Thousands",168,168,208,189,121,64,77,68,68,85,99,102,129,143,135,126,173,213,210,246,232.7,221.9,194.3,205.3,228.2,46,30.1,72.3,"PARAGUAY"
"467","Water","Thousands",19,19,17,12,12,NA,7,6,5,8,10,10,22,25,21,16,24,29,31,18,51.6,203.8,341.5,129.8,120.7,25.5,NA,40.7,"PARAGUAY"
"468","Land","Thousands",251,238,170,149,136,224,195,176,195,217,232,276,265,261,283,323,327,337,369,385,930.4,882.5,1048.1,845.8,866.7,180.5,64.8,466.4,"PARAGUAY"
"469","Air","Thousands",356,425,459,552,543,629,621.45,649.8,678.5,802.8,950.1,970.5,1131.9,1292.4,1343.8,1377.7,1562.5,1717,1935.3,1925.4,2033.8,2185.1,2379.8,2586.1,2736.5,530,444.3,1489.7,"PERU"
"470","Water","Thousands",5,5,6,5,14,9.5,10.4,6.9,7.3,8,8.3,16,20.6,25.1,32.7,24,24.3,22.1,18.5,32.4,30.9,31,32.1,31.6,19.9,11.2,NA,8.8,"PERU"
"471","Land","Thousands",118,154,185,213,170,418,395.8,407,450,539.2,612.1,734.2,763.9,740.2,763.5,897.5,1011,1106.5,1209.8,1257.1,1390.9,1528.3,1620.5,1801.7,1615.4,355.4,NA,510.7,"PERU"
"472","Air","Thousands",1740,2019,2178,2092,2129,1964,1770,1905,1880,2260,2586,2807,3042,3085,2960,3461,3884,4238,4637,4773,5291,5894.6,6507,6940,8099.2,1457.3,164,2654,"PHILIPPINES"
"473","Water","Thousands",20,30,45,57,42,28,27,28,27,31,37,36,50,55,57,59,33,35,44,60,70,72.4,114,228,161.7,25.2,NA,NA,"PHILIPPINES"
"474","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHILIPPINES"
"475","Air","Thousands",705,772,927,1011,1069,1161,1174,1126,1182,1539,2004,2432,2884,2800,2650,3200,3650,4040,4338,4425,4655,4829,5028,8285.3,8976.6,2617.5,3005.5,6396.8,"POLAND"
"476","Water","Thousands",482,551,1280,1574,1656,1764,1468,1433,1627,859,404,368,371,350,320,325,310,370,361,368,389,402,419,440.2,442.5,319.3,310.2,364.2,"POLAND"
"477","Land","Thousands",81057,86112,85610,86007,86393,81590,58789,48176,49321,59520,62197,62315,62953,56785,50870,54815,56785,62980,67611,68957,72690,75245,78357,77221,79095.6,48139.1,47710,65053.4,"POLAND"
"478","Air","Thousands",4122,4116,4344,4752,4947,5238,5259,5073,5162,5938,6137,6734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PORTUGAL"
"479","Water","Thousands",239,242,251,260,293,272,188,187,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PORTUGAL"
"480","Land","Thousands",18705,18894,19649,21549,21775,22504,22702,21935,22053,15226,15037,15854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PORTUGAL"
"481","Air","Thousands",3131,3065,3242,3396,3024,3341,3551,3087,3238,3541,3686,3722,3687,3716,3183,3186,3048,3069,3172,3246,3542,3736,3513,3068,3180,2617.4,2755,3273.1,"PUERTO RICO"
"482","Water","Thousands",956,1045,1108,1275,1197,1225,1357,1276,1164,1348,1387,1300,1375,1497,1232,1194,1166,1128,1038,1210,1509,1267,1414,1192,1751,1264.6,0,364.4,"PUERTO RICO"
"483","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PUERTO RICO"
"484","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850.7,1011,1182,1356.9,1515,1682.7,1770.6,1813.2,1673.4,1715.5,1939.7,449.7,442.5,1657.1,"QATAR"
"485","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,3.6,12.3,13.6,18.5,18.5,19.4,29.4,58.6,103.8,196.8,132,33.8,98,"QATAR"
"486","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625.4,685.3,862.9,953,1078.5,1138.2,1151.1,1095.5,524.5,NA,NA,NA,134.5,804.7,"QATAR"
"487","Air","Thousands",304,350,374,400,394,430,424,426,432,430,409,279,381,396,422,420,471,447,416,406,426,458,508,535,534,217,251,495,"REUNION"
"488","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"REUNION"
"489","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"REUNION"
"490","Air","Thousands",433,479,533,553,566,655,705,689,752,704,919,1122,1460,1462,1277,1215,1509,1468.7,1347,1690,1535,2256.5,2648.1,2797,2936.5,729.9,1151.8,2546.8,"ROMANIA"
"491","Water","Thousands",175,161,171,160,141,141,135,137,152,186,187,209,234,262,164,154,168,186.6,196,189,178,166.6,161.2,162.4,185.1,99.2,218.1,450.8,"ROMANIA"
"492","Land","Thousands",4837,4565,4446,4119,4516,4468,4097,3968,4690,5709,4734,4706,6028,7138,6134,6129,5934,6281.4,6476,6563,7618,7799.8,8116.3,8761,9693.8,4193.6,5419,9699.2,"ROMANIA"
"493","Air","Thousands",2040,2194,2977,2685,2225,2466,2496,3140,3475,4090,4135,4426,5097,5532,4787,5590,6383,7537,8045.4,8198,7646,NA,NA,NA,NA,NA,NA,NA,"RUSSIAN FEDERATION"
"494","Water","Thousands",538,573,718,820,787,903,967,945,923,1153,1147,1107,1149,1252,1247,1196,1269,1351,1486.5,1333,1290.1,NA,NA,NA,NA,NA,NA,NA,"RUSSIAN FEDERATION"
"495","Land","Thousands",7712,13441,13768,12300,15481,17837,18132,19224,18123,16821,16919,16953,16663,16892,15304,15495,17280,19288,21260.3,22890,24793,NA,NA,NA,NA,NA,NA,NA,"RUSSIAN FEDERATION"
"496","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,79,93,99.2,111.1,133.6,123.6,133.2,125.7,170.6,204,202.7,242.4,279.8,80.2,109.1,NA,"RWANDA"
"497","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWANDA"
"498","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,459,531,575,563.3,554.9,774.4,937.7,988.9,1093.8,1127.8,1173,1367.3,1469,1353.7,417.2,401.8,NA,"RWANDA"
"499","Air","Thousands",7.2,7.3,8.1,7.8,6.9,6.2,5.9,7.9,6.8,7.3,7.4,6.9,7,7.1,7.7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SABA"
"500","Water","Thousands",2.8,2.5,2.5,2.8,2.3,2.9,3.1,2.9,3.5,3.7,4.1,4.1,4.6,4.9,4.3,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SABA"
"501","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SABA"
"502","Air","Thousands",82,86,92,96,87,76,74,73,95,121,145,144,128,131,91.6,104.9,113.2,108.9,112.7,113,118,116,115.4,125,120,30,20.2,80,"SAINT KITTS AND NEVIS"
"503","Water","Thousands",121,86,103,154,139,171,259,167,152,262,220,206,251,402,456.8,519.4,609.6,557,581.9,701.4,913,935,1078.2,1152,987,271,102.4,509,"SAINT KITTS AND NEVIS"
"504","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SAINT KITTS AND NEVIS"
"505","Air","Thousands",221,226,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,261,290,289,291,303.2,323,321,319.8,348.8,353.6,378,123,197.9,342.1,"SAINT LUCIA"
"506","Water","Thousands",185,196,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,18,16,23,16,15.4,15,24,28.1,37.3,41.1,46,7.7,1.5,14.1,"SAINT LUCIA"
"507","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SAINT LUCIA"
"508","Air","Thousands",91,88,93,88,86,94,86,90,92,100,104,106,96,90,81,78,78,77.4,74,73,77,80,78,81.4,85.6,27.2,24.4,59.4,"SAINT VINCENT AND THE GRENADINES"
"509","Water","Thousands",127,128,107,114,137,162,168,157,149,162,152,200,231,160,190,153,130,122.4,126,132,130,147,225.6,275,313.3,127.6,32.4,150.7,"SAINT VINCENT AND THE GRENADINES"
"510","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SAINT VINCENT AND THE GRENADINES"
"511","Air","Thousands",NA,NA,NA,76,81,85,85,86,89,94,99,112,118,118,127,127,125,132,122,129,135,140,153.5,167.6,174,20.5,1.1,47.2,"SAMOA"
"512","Water","Thousands",NA,NA,NA,2,4,3,3,3,3,4,3,4,4,4,2,3,3,3,3,3,4,6,4,4.8,7,3.4,1.5,3.4,"SAMOA"
"513","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SAMOA"
"514","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SAN MARINO"
"515","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SAN MARINO"
"516","Land","Thousands",3368,3345,3308,3264,3148,3071,3036,3102,2882,2812,2107,2136,2164,2112,2056,1976,2038,1869,1905,2004,1888,2000,1937,1874,1904,1015,1354,NA,"SAN MARINO"
"517","Air","Thousands",6.2,6.4,4.8,5.6,5.8,7.1,7.5,9.2,10,10.6,15.8,11.9,11,14.2,13.7,7.7,NA,NA,NA,NA,21.162,27,29.7,32.7,34.9,10.7,15.1,NA,"SAO TOME AND PRINCIPE"
"518","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.8,0.3,1.5,0.3,NA,NA,NA,NA,2.418,1.866,0.2,0.7,NA,NA,NA,NA,"SAO TOME AND PRINCIPE"
"519","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SAO TOME AND PRINCIPE"
"520","Air","Thousands",1834,NA,NA,NA,NA,NA,NA,NA,NA,4194,4287,4857,7341,9282,5301,7006,8778,10756,10860,12394.8,11967,13590.8,12444.3,11980,14081.4,3226.8,2424,94190.6,"SAUDI ARABIA"
"521","Water","Thousands",275,NA,NA,NA,NA,NA,NA,NA,NA,581,488,270,581,1020,289,228,5,1,19,68.8,48,89.6,67.2,75,100.4,16.5,6.6,92,"SAUDI ARABIA"
"522","Land","Thousands",2291,NA,NA,NA,NA,NA,NA,NA,NA,3824,3301,3493,3608,4456,5307,3616,5396,5575,4893,5796.7,5979,4364,3597.4,3279,3343.8,894.9,1046.6,7055.2,"SAUDI ARABIA"
"523","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,523,564,522,487,502,469,507,488,466,499,731.2,766.5,868.6,936.9,NA,NA,NA,NA,NA,"SENEGAL"
"524","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,9,10,4,10,5,6,9,5,6.5,13.2,7.7,8.5,10.5,NA,NA,NA,NA,NA,"SENEGAL"
"525","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,144,206,344,388,365,341,393,479.5,496,563.6,231.8,240.1,341.4,428.1,NA,NA,NA,NA,NA,"SENEGAL"
"526","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SERBIA"
"527","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SERBIA"
"528","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SERBIA"
