"","Mode","Units","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Country"
"103","Air","Thousands",28,37,45,52,67,83,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CABO VERDE"
"104","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CABO VERDE"
"105","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CABO VERDE"
"106","Air","Thousands",220,260,219,186,263,351,408,523,456,626,857,1027,1297,1239,1112,1304,1481,1722,2018,2273.5,2476,2704.4,3312.7,4096.9,4404,756.3,99.8,791.6,"CAMBODIA"
"107","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,32,40,44,72,78,78,81,76,75,97,148,153.4,145.4,144.2,156.8,51.5,0.2,17.9,"CAMBODIA"
"108","Land","Thousands",NA,NA,NA,104,105,115,197,264,245,336,445,525,675,814,972,1126,1320,1786,2117,2132,2151,2153.9,2144,1960,2049.7,498.4,96.4,1467.2,"CAMBODIA"
"109","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,217,224,218,267,279,351,269,244,308.2,400.7,463.8,474.7,489.1,258.3,440.8,238.1,"CAMEROON"
"110","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,12,19,27,8,11,32,21,24,26.7,30,28.1,16.5,19.4,13,20.1,12.3,"CAMEROON"
"111","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,248,244,253,298,314,434,493,554,562.5,563.7,589.3,505.8,512.9,344.8,502.3,288.9,"CAMEROON"
"112","Air","Thousands",5731.5,6318.6,6621.8,6941.3,7351.3,7634.3,7347.7,7192.6,6408.8,7497.4,7746.5,7785.2,7818,7651.5,6781,7162.5,7254.6,7418.4,7176.7,7728.4,8422.5,9802.4,10576.8,10372.1,10999,1663.7,1594.9,6669.1,"CANADA"
